SYMBOL,OPEN,HIGH,LOW,CLOSE,PREVCLOSE,TOTTRDQTY,DATE,RETURN,SECTOR
ADANIGREEN,1935.55,1965.45,1907.2,1945.1,1914.7,1015269,2022-04-01,1.5877,ENERGY
ALKEM,3600.0,3619.85,3472.05,3493.2,3620.7,153314,2022-04-01,-3.5214,PHARMA
ASHOKLEY,117.4,119.7,116.3,119.15,117.25,12697606,2022-04-01,1.6205,AUTO
AUROPHARMA,673.85,684.45,663.0,682.35,668.55,1700773,2022-04-01,2.0642,PHARMA
AXISBANK,760.0,775.75,755.15,774.55,761.15,9321859,2022-04-01,1.7605,BANKING
BAJAJ-AUTO,3636.0,3746.0,3636.0,3739.9,3653.0,391985,2022-04-01,2.3789,AUTO
BAJAJFINSV,17030.0,17200.0,17011.2,17139.2,17060.45,210141,2022-04-01,0.4616,FINANCE
BAJFINANCE,7229.95,7449.0,7220.3,7408.1,7259.95,871513,2022-04-01,2.0406,FINANCE
BANDHANBNK,305.85,321.4,303.2,320.3,307.4,15643935,2022-04-01,4.1965,BANKING
BIOCON,339.0,343.0,335.4,341.9,335.6,2395845,2022-04-01,1.8772,PHARMA
BPCL,361.55,375.0,361.55,374.4,359.35,6386165,2022-04-01,4.1881,ENERGY
BRITANNIA,3210.0,3237.9,3191.65,3230.65,3206.4,260712,2022-04-01,0.7563,FMCG
CIPLA,1023.0,1025.9,1006.0,1014.85,1018.05,1285646,2022-04-01,-0.3143,PHARMA
COALINDIA,183.8,187.25,183.3,186.15,183.05,13505929,2022-04-01,1.6935,METALS
COFORGE,4490.0,4498.0,4351.05,4414.85,4457.5,330097,2022-04-01,-0.9568,IT
COLPAL,1540.0,1553.45,1528.4,1549.6,1542.25,184466,2022-04-01,0.4766,FMCG
DABUR,539.0,545.0,536.25,542.45,536.2,1488872,2022-04-01,1.1656,FMCG
DIVISLAB,4425.0,4443.15,4335.1,4379.7,4402.05,348173,2022-04-01,-0.5077,PHARMA
DRREDDY,4295.0,4334.65,4263.0,4279.45,4295.45,313871,2022-04-01,-0.3725,PHARMA
EICHERMOT,2457.15,2494.75,2422.0,2481.2,2457.15,745769,2022-04-01,0.9788,AUTO
FEDERALBNK,97.4,102.25,97.15,101.6,97.4,21163607,2022-04-01,4.3121,BANKING
GAIL,157.0,162.4,155.85,162.05,155.65,17417060,2022-04-01,4.1118,ENERGY
GODREJCP,750.0,755.4,739.1,753.0,747.3,1290173,2022-04-01,0.7627,FMCG
HCLTECH,1161.0,1174.0,1152.05,1169.65,1163.75,2479745,2022-04-01,0.507,IT
HDFCBANK,1476.4,1510.0,1470.3,1506.0,1470.35,7284278,2022-04-01,2.4246,BANKING
HDFCLIFE,538.0,551.4,536.4,550.35,538.2,3675121,2022-04-01,2.2575,FINANCE
HEROMOTOCO,2185.0,2246.0,2150.0,2240.15,2294.15,3541517,2022-04-01,-2.3538,AUTO
HINDALCO,569.9,577.0,561.45,570.5,569.5,15300787,2022-04-01,0.1756,METALS
HINDUNILVR,2054.9,2085.85,2038.4,2078.15,2048.65,1714996,2022-04-01,1.44,FMCG
ICICIBANK,725.0,738.3,723.1,736.25,730.3,12658848,2022-04-01,0.8147,BANKING
ICICIPRULI,500.0,509.15,493.6,508.0,500.9,899718,2022-04-01,1.4174,FINANCE
INDUSINDBK,929.45,970.95,929.15,968.6,935.4,5222165,2022-04-01,3.5493,BANKING
INFY,1886.85,1910.3,1878.3,1903.55,1906.85,6171518,2022-04-01,-0.1731,IT
IOC,119.1,122.45,119.0,122.1,118.95,10701784,2022-04-01,2.6482,ENERGY
ITC,250.0,255.35,248.8,253.3,250.65,14305709,2022-04-01,1.0573,FMCG
JSWSTEEL,735.0,749.95,728.5,732.2,732.65,5079937,2022-04-01,-0.0614,METALS
KOTAKBANK,1749.3,1780.0,1745.6,1776.65,1753.85,2373773,2022-04-01,1.3,BANKING
LUPIN,744.95,766.9,735.8,765.5,747.05,1096987,2022-04-01,2.4697,PHARMA
M&M,811.0,829.5,807.7,826.55,806.55,3406177,2022-04-01,2.4797,AUTO
MARICO,507.55,520.7,506.3,518.25,503.7,1839975,2022-04-01,2.8886,FMCG
MARUTI,7574.0,7729.0,7517.35,7700.05,7561.3,449386,2022-04-01,1.835,AUTO
MPHASIS,3375.0,3389.6,3316.05,3344.05,3376.85,263995,2022-04-01,-0.9713,IT
MUTHOOTFIN,1335.0,1359.0,1331.15,1354.75,1330.95,443146,2022-04-01,1.7882,FINANCE
NESTLEIND,17380.55,17607.7,17250.0,17557.2,17380.55,31159,2022-04-01,1.0164,FMCG
NTPC,138.0,143.45,136.8,142.95,135.0,32589741,2022-04-01,5.8889,ENERGY
ONGC,163.9,168.25,163.55,167.95,163.9,28335224,2022-04-01,2.471,ENERGY
PERSISTENT,4789.9,4789.9,4675.0,4722.75,4765.3,369290,2022-04-01,-0.8929,IT
POWERGRID,216.1,225.75,216.1,225.05,216.8,29747971,2022-04-01,3.8054,ENERGY
RELIANCE,2636.0,2665.15,2622.0,2655.85,2634.75,3656408,2022-04-01,0.8008,ENERGY
SAIL,99.0,102.5,98.8,102.15,98.55,31320098,2022-04-01,3.653,METALS
SBILIFE,1119.0,1120.8,1089.0,1113.35,1121.45,1519104,2022-04-01,-0.7223,FINANCE
SBIN,491.0,509.75,491.0,508.2,493.55,18527226,2022-04-01,2.9683,BANKING
SUNPHARMA,914.0,919.0,904.1,908.7,914.75,1184766,2022-04-01,-0.6614,PHARMA
TATAMOTORS,434.0,442.25,430.85,441.15,433.75,19380324,2022-04-01,1.7061,AUTO
TATASTEEL,1310.0,1340.9,1305.45,1317.1,1307.2,5532159,2022-04-01,0.7573,METALS
TCS,3748.0,3763.0,3728.05,3758.75,3739.95,1387014,2022-04-01,0.5027,IT
TECHM,1499.0,1502.65,1475.45,1487.1,1499.45,2537230,2022-04-01,-0.8236,IT
TVSMOTOR,621.3,629.9,619.0,628.75,625.65,1025492,2022-04-01,0.4955,AUTO
VEDL,405.3,410.9,403.2,405.8,403.35,8522750,2022-04-01,0.6074,METALS
WIPRO,591.7,603.4,589.3,601.8,591.9,4283997,2022-04-01,1.6726,IT
ADANIGREEN,1865.0,1908.9,1865.0,1888.3,1835.15,573430,2024-04-01,2.8962,ENERGY
ALKEM,4930.15,5044.9,4930.15,5009.05,4942.0,69589,2024-04-01,1.3567,PHARMA
ASHOKLEY,173.0,175.4,173.0,174.65,171.25,21306967,2024-04-01,1.9854,AUTO
AUROPHARMA,1113.0,1131.55,1104.55,1113.35,1088.75,2560078,2024-04-01,2.2595,PHARMA
AXISBANK,1052.35,1063.75,1048.9,1053.1,1047.2,5484556,2024-04-01,0.5634,BANKING
BAJAJ-AUTO,9194.8,9211.6,9013.1,9042.15,9148.15,419820,2024-04-01,-1.1587,AUTO
BAJAJFINSV,1659.05,1674.0,1640.35,1646.0,1643.85,767676,2024-04-01,0.1308,FINANCE
BAJFINANCE,7261.25,7343.45,7220.05,7250.95,7245.25,1125238,2024-04-01,0.0787,FINANCE
BANDHANBNK,182.75,188.5,181.75,187.85,180.0,10421068,2024-04-01,4.3611,BANKING
