SECTOR,DATE,AVG_RETURN
AUTO,2022-01-03,1.8217
AUTO,2022-01-04,0.0252
AUTO,2022-01-05,1.6571
AUTO,2022-01-06,0.7654
AUTO,2022-01-07,-0.2811
AUTO,2022-01-10,1.7342
AUTO,2022-01-11,-0.2281
AUTO,2022-01-12,1.5703
AUTO,2022-01-13,0.3523
AUTO,2022-01-14,-0.5433
AUTO,2022-01-17,2.0021
AUTO,2022-01-18,-2.4373
AUTO,2022-01-19,0.6969
AUTO,2022-01-20,-0.6211
AUTO,2022-01-21,0.1641
AUTO,2022-01-24,-2.5455
AUTO,2022-01-25,1.9961
AUTO,2022-01-27,0.2553
AUTO,2022-01-28,-1.0836
AUTO,2022-01-31,1.7268
AUTO,2022-02-01,-0.5985
AUTO,2022-02-02,0.4425
AUTO,2022-02-03,1.3713
AUTO,2022-02-04,-1.0928
AUTO,2022-02-07,-1.5446
AUTO,2022-02-08,0.3486
AUTO,2022-02-09,2.0866
AUTO,2022-02-10,0.2768
AUTO,2022-02-11,-1.0234
AUTO,2022-02-14,-3.571
AUTO,2022-02-15,4.2953
AUTO,2022-02-16,-0.1013
AUTO,2022-02-17,0.0838
AUTO,2022-02-18,-0.5409
AUTO,2022-02-21,-0.7734
AUTO,2022-02-22,0.1055
AUTO,2022-02-23,-0.6613
AUTO,2022-02-24,-6.0639
AUTO,2022-02-25,2.5753
AUTO,2022-02-28,-0.9095
AUTO,2022-03-02,-3.0956
AUTO,2022-03-03,-2.7964
AUTO,2022-03-04,-3.9013
AUTO,2022-03-07,-4.6437
AUTO,2022-03-08,0.918
AUTO,2022-03-09,3.3819
AUTO,2022-03-10,1.5474
AUTO,2022-03-11,-0.0236
AUTO,2022-03-14,1.0109
AUTO,2022-03-15,0.7362
AUTO,2022-03-16,2.5791
AUTO,2022-03-17,1.8378
AUTO,2022-03-21,-1.4348
AUTO,2022-03-22,1.143
AUTO,2022-03-23,-0.8078
AUTO,2022-03-24,-0.5083
AUTO,2022-03-25,-0.3375
AUTO,2022-03-28,0.6842
AUTO,2022-03-29,-0.1854
AUTO,2022-03-30,1.2407
AUTO,2022-03-31,0.3183
AUTO,2022-04-01,1.1426
AUTO,2022-04-04,1.2974
